id,naziv,vrijeme_pocetka,vrijeme_kraja,id_lokacija,id_tura,ishod,trosak_misije
3023,"Sokolsko pero","2016-12-07 00:00:00","2017-03-15 00:00:00",27,11,"Vojna misija Sokolsko pero unutar Venezuele bila je odlučna akcija koja je imala za cilj da pomogne u stabilizaciji političke situacije u zemlji. Vojni kontingent Sokolsko pero koji je sastavljen od visoko obučenih i sposobnih vojnika bio je odgovoran za borbu protiv terorizma i održavanje mira u regiji. Misija je također podržavala humanitarne napore i pomogla u očuvanju sigurnosti građana Venezuele.",6720729.00
3024,Branitelj,"2017-03-21 00:00:00","2018-03-19 00:00:00",26,12,"Trening vojne misije branitelj u Norveškoj je program koji priprema vojnike za rad u međunarodnim vojnim operacijama u cilju očuvanja mira i stabilnosti. Ovi treningi se obično odvijaju u vojnim bazama u Norveškoj i uključuju fizičke i teorijske vježbe koje pomažu vojnicima da se pripreme za različite vrste zadataka koji mogu naići tijekom misije. Trening također uključuje poduku o kulturnim razlikama i načinima komuniciranja s lokalnom populacijom kao i o sigurnosnim mjerama koje treba poduzeti tijekom misije.",2760791.00
3025,"Snažan udar","2017-08-09 00:00:00","2018-01-11 00:00:00",20,12,"Trening vojne misije Snažan udar u Norveškoj je bio izuzetno zahtjevan i namjenjen je pripremi vojnika za specijalne zadatke. Ovaj trening je obuhvatio fizičke i tehničke vježbe kao i obuku u upotrebi oružja i opreme. Cilj ovog treninga je bio da se pripreme vojnici za uspješno izvršavanje misije u Norveškoj gdje su imali zadatak da osiguraju stabilnost u regionu.",2505324.00
3026,"Vukovi sa Vlašića","2006-05-23 00:00:00","2007-01-20 00:00:00",34,13,"Vukovi sa Velebita su hrvatska vojna jedinica koja se bavi treningom vojnih misija. Ova jedinica se sastoji od iskusnih i stručnih vojnika koji su prošli rigorozne obuke i testiranja. Oni su specijalizirani za izvedbu različitih vrsta vojnih misija uključujući protivterorističke protivdiverzantske i protivnapadne operacije. Trening vojne misije Vukova sa Velebita u švicarskoj obuhvaća različite scenarije i situacije kako bi se osiguralo da su vojnici spremni za svaku eventualnost u stvarnim misijama. Trening se odvija u realističnim okolnostima i uključuje korištenje napredne opreme i tehnologije. Cilj treninga je osigurati da vojnici budu spremni za svaku vrstu vojne misije i da mogu izvesti svoje zadatke na siguran i učinkovit način.",8658669.00
3027,"Pustinjski oluj","2012-12-10 00:00:00","2013-01-24 00:00:00",17,14,"Pustinjski oluj je vojna misija koja se odvija u SAD-u i koja se fokusira na trening za borbu u pustinjskim uvjetima. Vojnici se treniraju za različite vrste operacija kao što su preživljavanje pregrupisavanje i borba u uvjetima visokih temperatura i suše. Trening uključuje korišćenje specijalizovane opreme i taktike kao i rad u timu sa drugim jedinicama. Cilj ovog treninga je da se vojnici pripreme za eventualne operacije u pustinjskim uslovima kako bi bili spremni da izvrše svoje dužnosti i da prežive u ovom teškom okruženju.",2674440.00
3028,"Neprekidni lancevi","2010-03-14 00:00:00","2011-06-08 00:00:00",18,6,"Neprekidni lancevi je vojna misija koja se odvijala u Afganistanu u drugoj turi. Cilj misije je bio osigurati stabilnost i sigurnost u regiji te osnažiti afganistanske snage sigurnosti kako bi same mogle osiguravati sigurnost u zemlji. Misija je obuhvaćala obuku savjetovanje i podršku afganistanskim snagama sigurnosti kao i provođenje ciljanih operacija protiv talibanskih pobunjenika. Misija je trajala od 2010. do 2014. godine.",8566407.00
3029,"Obrana demokracije","2016-05-25 00:00:00","2017-01-11 00:00:00",21,12,"Trening vojne misije Obrana demokracije u Norveškoj je program za obuku vojnika koji se fokusira na obranu demokratskih vrijednosti i principa u slučaju potencijalnog napada na Europsku uniju. Vojska će se obučavati u različitim scenarijima uključujući i one koji se odnose na prijetnje od terorizma i cyber napada. Cilj je osposobiti vojnike da budu spremni za svaku situaciju i da brzo i efikasno reagiraju u slučaju potrebe. Trening će uključivati i suradnju s drugim nacionalnim i međunarodnim snagama.",8550255.00
3030,"Zaljevska obrana","2022-07-14 00:00:00","2022-09-27 00:00:00",19,5,"Vojna misija Zaljevska obrana u Ukrajini je operacija Europske unije koja se bavi osiguravanjem sigurnosti i stabilnosti na obali Crnog mora. Uključuje kombinaciju vojnih i civilnih aktivnosti kako bi se osigurala sigurnost pomorskih komunikacija i sprječile moguće napade na Ukrajinsku obalu. Ova misija također ima za cilj pružanje podrške Ukrajini u borbi protiv terorizma i kriminala na moru. Uključuje učešće više zemalja članica EU i suradnju sa Ukrajinskim vlastima.",9865296.00
3031,"Afrička sloboda","2008-10-21 00:00:00","2008-11-11 00:00:00",29,2,"Afrička sloboda je vojna misija koja se provodi u Afganistanu sa ciljem stabilizacije i unapređenja sigurnosti u zemlji. Misija je podržana od strane Europske unije i uključuje trupe iz različitih afričkih zemalja kao i europskih sila. Cilj misije je da se podrži afganistanska vlada u borbi protiv terorizma i da se pomogne u izgradnji stabilne i sigurne države. Misija takođe uključuje i pomoć u razvoju i poboljšanju životnih uvjeta stanovništva.",7109438.00
3032,"Vjetar u leđa","2022-03-12 00:00:00","2022-08-02 00:00:00",27,5,"Vojna misija "Vjetar u leđa" u Ukrajini je operacija koja se provodi u suradnji s NATO-om i cilj joj je osnaživanje sigurnosnih snaga Ukrajine u borbi protiv proruskih separatističkih snaga. Ova misija uključuje vojne savjetnike i obuku ukrajinskih vojnika kao i pružanje logističke podrške i opremu. Cilj misije je jačanje stabilnosti i sigurnosti u Ukrajini te pružanje podrške ukrajinskim naporima za očuvanje suvereniteta i teritorijalnog integriteta.",1903659.00
3033,"Neprijatelj na vrhu","2006-11-02 00:00:00","2007-02-24 00:00:00",17,13,"Trening vojna misija "Neprijatelj na vrhu" u Švicarskoj je intenzivna taktička vježba koja se fokusira na pripremu vojnika za borbu u alpskom okruženju. Vojnici će se suočiti s različitim izazovima poput prelaska preko ledenjaka borbe u uskim dolinama i korištenja specijalizirane opreme za alpsko ratovanje. Cilj je osposobiti vojnike za rad u teškim i izazovnim uvjetima kao i poboljšati njihove taktičke sposobnosti i koordinaciju u timu.",611531.00
3034,"Vatreni val","2010-05-25 00:00:00","2012-07-22 00:00:00",20,6,"Trening vojna misija "Neprijatelj na vrhu" u Švicarskoj je intenzivna taktička vježba koja se fokusira na pripremu vojnika za borbu u alpskom okruženju. Vojnici će se suočiti s različitim izazovima poput prelaska preko ledenjaka borbe u uskim dolinama i korištenja specijalizirane opreme za alpsko ratovanje. Cilj je osposobiti vojnike za rad u teškim i izazovnim uvjetima kao i poboljšati njihove taktičke sposobnosti i koordinaciju u timu.",3860340.00
3035,"Posljednja šansa","2014-07-19 00:00:00","2014-11-03 00:00:00",24,7,"Trening vojna misija Posljednja šansa u južnoj Africi je napredni trening za vojnike koji se pripremaju za izazove i opasnosti koje se mogu susresti u južnoafričkim ratištima. Ovaj treninzi se fokusira na taktičke i operativne vještine kao i na suradnju i komunikaciju unutar postrojbe. Vojnici će se suočiti s različitim scenarijima i situacijama kao što su borba u urbanom okruženju evakuacija civila i spašavanje ranjenika. Cilj ovog treninga je da pripremi vojnike za realne situacije i osigura da su spremni za svaku misiju u južnoafričkom kontekstu",5264104.00
3036,"Konačni susret","2010-10-24 00:00:00","2010-12-28 00:00:00",36,3,"Trening vojna misija "Konačni susret" u Grčkoj je intenzivni tjedni program za vojnike koji se fokusira na osposobljavanje za bojne situacije u urbanom okruženju. Vojnici će se suočiti sa različitim scenarijima uključujući razminiranje borbu protiv terorista i spašavanje civila. Osim fizičkih vježbi. Vojnici će također proći kroz tečajeve za rukovanje oružjem i taktičku komunikaciju. Cilj treninga je da se vojnici osposobe za uspješno izvršavanje misija u različitim okruženjima i da se poboljša njihova sposobnost da reagiraju na izazove u boju.",473290.00
3037,"Povratak kući","2010-11-19 00:00:00","2010-12-26 00:00:00",30,10,"Trening vojna misija Povratak kući u Bosni i Hercegovini je program za vojnike koji se fokusira na pripremu za izazove koji se mogu pojaviti tokom misije u Bosni i Hercegovini. Ovaj trening obuhvaća različite vještine i tehnike uključujući komunikaciju sa lokalnim stanovništvom rukovođenje patrolama rješavanje incidenta i drugo. Cilj ovog treninga je da se vojnici osposobe za rad u složenim i nestabilnim okruženjima te da budu spremni za svaki eventualni scenario koji se može pojaviti tokom misije.",7519572.00
3038,"Vatreno olujno nebo","2008-09-09 00:00:00","2010-09-11 00:00:00",24,1,"Vatreno olujno nebo je vojna misija koja se odvija u Indiji i Pakistanu. Cilj misije je da se osposobi vojnici za rad u teškim i napetim okolnostima kao što su sukobi sa neprijateljem i prirodne katastrofe. Trening uključuje različite vježbe poput borbe u urbanom okruženju spašavanja u katastrofama i rada u skupinama. Vojnici se također osposobljavaju za rad sa različitim vrstama oružja i vojne opreme. Ova misija je važna za osiguranje sigurnosti i stabilnosti u regiji.",9840396.00
3039,"Konačno pobjedništvo","2015-09-30 00:00:00","2016-01-13 00:00:00",28,11,"Vojna misija "Konačno pobjedništvo u Venezueli" je operacija koja se fokusira na svrgavanje vladajućeg režima u Venezueli i instaliranje nove vlade koja će se pridržavati demokratskih principa i ljudskih prava. Misija se sastoji od kombinacije vojnih napada specijalnih operacija i humanitarnih aktivnosti kako bi se osigurala sigurnost civila i pružila pomoć onima koji su pogođeni krizom. Cilj misije je ukloniti diktatorsku vlast i postići konačno pobjedništvo za narod Venezuele.",9966801.00
3040,"Krvavo nebo","2019-11-16 00:00:00","2019-12-28 00:00:00",36,8,"Trening zrakoplovne vojne misije Krvavo nebo u Taiwanu je specijalizirani program koji se temelji na simulaciji i stvarnim scenarijima ratnih operacija. Cilj ovog treninga je osnaživanje vojnih snaga Taiwana u obrani protiv mogućeg napada s Kine. Vojni piloti i drugi vojni zrakoplovni stručnjaci uče kako upravljati i koristiti različite vrste zrakoplova kao i kako izvoditi različite taktičke manevre. Trening također uključuje rad u timu i suradnju s drugim vojnim jedinicama. Ova misija je važna za sigurnost Taiwana i njegove vojne sposobnosti.",172465.00
3041,"Smrtni huk","2022-02-26 00:00:00","2022-08-16 00:00:00",22,5,"Vojna misija Smrtni huk je bila operacija koja se odvijala u Ukrajini a cilj joj je bio osigurati mir i stabilnost na području koje je bilo pogođeno sukobima između ukrajinskih snaga i proruskih separatističkih grupa. Misija je započela u siječnju 2015. godine i trajala je do lipnja 2016. godine. Uključivala je više od 10.000 vojnika iz različitih zemalja uključujući Sjedinjene Države Veliku Britaniju Poljsku i druge. Cilj misije bio je osigurati sigurnost civila i pružiti podršku ukrajinskim snagama u borbi protiv separatističkih skupina. Misija je bila uspješna u smanjenju nasilja i pružanju podrške civilima ali sukobi su se nastavili i dalje.",7220839.00
3042,"Svjetlo na kraju tunela","2019-12-11 00:00:00","2020-06-28 00:00:00",33,8,"Trening vojne misije Svjetlo na kraju tunela u Taiwanu je program koji se sastoji od različitih fizičkih i taktičkih vježbi koji se provode u različitim uvjetima. Cilj treninga je pripremiti vojnike za potencijalnu misiju u Taiwanu gdje bi se suočili s različitim izazovima poput visokih temperatura teškog terena i mogućeg sukoba. Vojnici se treniraju za različite situacije uključujući borbu u urbanom okruženju preživljavanje u divljini i borbu protiv neprijatelja. Trening se provodi pod vodstvom iskusnih instruktora i koristi se moderna oprema i tehnologija.",3998984.00
3043,"Konačna pobjeda","2011-01-19 00:00:00","2012-01-04 00:00:00",40,6,"Trening vojne misije Konačna pobjeda u 2. Afganistanskoj turi fokusira se na osnaživanje sposobnosti vojnika za izvođenje operacija u zahtjevnom ratnom okruženju. Vojnici prolaze kroz intenzivne fizičke i taktičke treninge kako bi se pripremili za borbu protiv talibana i drugih extremističkih skupina. Osim toga vojnici se također obučavaju u komunikaciji i suradnji s afganistanskim snagama sigurnosti te u humanitarnim misijama i kontaktu s lokalnom zajednicom. Cilj ovog treninga je osigurati konačnu pobjedu u Afganistanu kroz jačanje sposobnosti vojnika i podršku afganistanskim snagama sigurnosti.",6122253.00
3044,"Zmajevi u nebu","2011-09-12 00:00:00","2012-03-20 00:00:00",31,10,"Trening Zmajevi u nebu je vojna misija koja se odvija u Bosni i Hercegovini. Cilj treninga je da se vojnici osposobe za izvođenje misija u zemljama u tranziciji. Trening obuhvata različite vježbe uključujući letenje helikoptera upotrebu oružja i taktičko djelovanje u različitim scenarijima. Vojnici se također osposobljavaju za rad u međunarodnim okruženjima i razumijevanje kulture i običaja zemlje u kojoj se nalaze. Trening Zmajevi u nebu je važan dio pripreme vojnika za izvođenje misija u zemljama u tranziciji.",3957457.00
3045,"Zlatna kugla","2006-07-21 00:00:00","2008-07-15 00:00:00",16,13,"Trening vojne misije Zlatna kugla u Švicarskoj je specijalizirani program koji se fokusira na trening vojnih snaga za specijalne operacije. Cilj treninga je poboljšati sposobnost vojnika za izvršenje zadataka u različitim taktičkim situacijama kao što su antiterorističke operacije spašavanje talaca i borba protiv neprijatelja u urbanom okruženju. Program uključuje fizičke i taktičke vježbe kao i obuku u korištenju različitih oružja i opreme. Švicarska se smatra jednim od najboljih mjesta za ovakav trening zbog svoje geografske pozicije i visokog stupnja sigurnosti.",1087331.00
3046,"Vatreni stihovi","2016-04-08 00:00:00","2017-05-28 00:00:00",36,11,"Vatreni stihovi je vojna misija koja se odvija u Venezueli. Cilj misije je osigurati sigurnost i stabilnost u zemlji kao i podržati vladu u borbi protiv terorizma i kriminala. Misija uključuje različite operacije od patroliranja gradova i ruralnih područja do antiterorističkih akcija i potpore lokalnim snagama reda. Vojnici su uključeni u treniranje i obuku lokalnih snaga kao i u pružanje humanitarne pomoći stanovništvu. Misija Vatreni stihovi je važan dio globalne borbe protiv terorizma i kriminala te je važna za očuvanje sigurnosti i stabilnosti u regiji.",853626.00
3047,"Odlučujući okršaj","2009-12-24 00:00:00","2010-10-01 00:00:00",25,9,"Mirovna vojna misija u Južnoj Koreji ima za cilj razrješavanje dugogodišnjeg sukoba između Južne i Sjeverne Koreje. Trenutačna situacija uključuje stalne napetosti i prijetnje te je potreban hitan intervencija kako bi se spriječile daljnje žrtve i širenje rata. Mirovna misija se sastoji od diplomatskih pregovora i dogovora te moguće prisilne intervencije ako se situacija ne popravi. Odlučujući okršaj bi mogao biti ključni trenutak u razrješavanju konflikta te je važno da se sve strane zauzmu za mirno rješenje.",6286138.00
3048,"Pobjednički pohod","2010-11-17 00:00:00","2012-05-03 00:00:00",40,10,"Trening vojna misija Pobjednički pohod u Bosni i Hercegovini je bila usmjerena na osnaživanje i unapređenje sposobnosti vojnih jedinica u Bosni i Hercegovini. Cilj misije bio je osigurati stabilnost i mir u zemlji te pružiti podršku lokalnim vlastima u sprečavanju oružanih sukoba. Vojnici su prošli kroz različite vježbe i treninge koji su ih pripremili za različite scenarije uključujući humanitarnu pomoć spašavanje i ciljano djelovanje. Misija je bila uspješna u osiguravanju stabilnosti i mira u Bosni i Hercegovini te je doprinijela unapređenju sposobnosti lokalnih snaga sigurnosti.",8778437.00
3049,"Smrtni cilj","2010-09-22 00:00:00","2012-11-07 00:00:00",21,1,"Mirovna vojna misija u Indiji i Pakistanu ima za cilj rješavanje dugogodišnjeg sukoba između dvije zemlje oko podjele teritorija i statusa regije Kašmira. Cilj misije je preustrojiti odnose između Indije i Pakistanu kroz dijalog i pregovore te postići trajni mir i stabilnost u regiji. Misija također ima za cilj poboljšanje života stanovništva u Kašmiru kroz razvoj i poboljšanje standarda života.",6568915.00
3050,"Oluja neba","2013-05-11 00:00:00","2013-08-14 00:00:00",24,14,"Trening vojne misije Oluja neba u SAD je trenažni program koji se fokusira na taktičko i operativno obučavanje vojnika za vojne misije u zrakoplovstvu. Ova misija se sastoji od niza trenažnih aktivnosti koje uključuju letove u zrakoplovima borbeno treniranje i simulacije ratnih scenarija. Cilj ovog programa je osposobiti vojnike za uspješno izvršavanje zadataka u zrakoplovstvu te poboljšati njihove sposobnosti za rad u timu i pod stresom.",8606804.00
